PEDIDO,EXISTE_EN_TRACKING,EXISTE_EN_TABLA_LINEAS,FILAS_TABLA_LINEAS,LINEAS,UNIDADES,DUPLICADO,RESULTADO,OBSERVACION
4190139841,SI,NO,0,,,NO,SIN_COBERTURA,
4190139836,SI,SI,1,23,9464,NO,OK,
4190139790,SI,SI,1,12,3736,NO,OK,
4190139782,SI,NO,0,,,NO,SIN_COBERTURA,
4190139781,SI,NO,0,,,NO,SIN_COBERTURA,
4190139780,SI,NO,0,,,NO,SIN_COBERTURA,
4190139794,SI,NO,0,,,NO,SIN_COBERTURA,
4190139773,SI,SI,1,29,1231,NO,OK,
4190139774,SI,NO,0,,,NO,SIN_COBERTURA,
4190139770,SI,SI,1,9,788,NO,OK,
4190139766,SI,SI,1,107,1645,NO,OK,
4190139764,SI,SI,1,11,810,NO,OK,
4190139762,SI,NO,0,,,NO,SIN_COBERTURA,
4190139758,SI,SI,1,10,251,NO,OK,
4190139757,SI,SI,1,12,676,NO,OK,
4190139755,SI,SI,1,8,103,NO,OK,
4190139754,SI,SI,1,182,9638,NO,OK,
4190139744,SI,SI,1,36,958,NO,OK,
1167226,SI,NO,0,,,NO,SIN_COBERTURA,
4190139726,SI,NO,0,,,NO,SIN_COBERTURA,
4190139723,SI,NO,0,,,NO,SIN_COBERTURA,
4190139721,SI,SI,1,12,109,NO,OK,
4190139715,SI,SI,1,27,2163,NO,OK,
4190139714,SI,NO,0,,,NO,SIN_COBERTURA,
4190139711,SI,NO,0,,,NO,SIN_COBERTURA,
4190139704,SI,SI,1,20,319,NO,OK,
4190139702,SI,NO,0,,,NO,SIN_COBERTURA,
4190139698,SI,NO,0,,,NO,SIN_COBERTURA,
4190139710,SI,NO,0,,,NO,SIN_COBERTURA,
4190139694,SI,NO,0,,,NO,SIN_COBERTURA,
4190139693,SI,NO,0,,,NO,SIN_COBERTURA,
4190139692,SI,SI,1,24,550,NO,OK,
4190139690,SI,SI,1,25,462,NO,OK,
4190139686,SI,NO,0,,,NO,SIN_COBERTURA,
4190139683,SI,SI,1,16,277,NO,OK,
4190139687,SI,SI,1,1,126,NO,OK,
4190139677,SI,SI,1,60,1496,NO,OK,
4190139675,SI,NO,0,,,NO,SIN_COBERTURA,
1167148,SI,NO,0,,,NO,SIN_COBERTURA,
4190139655,SI,NO,0,,,NO,SIN_COBERTURA,
4190139653,SI,SI,1,45,1052,NO,OK,
4190139646,SI,SI,1,4,207,NO,OK,
4190139680,SI,NO,0,,,NO,SIN_COBERTURA,
4190139679,SI,NO,0,,,NO,SIN_COBERTURA,
4190139634,SI,NO,0,,,NO,SIN_COBERTURA,
4190139630,SI,NO,0,,,NO,SIN_COBERTURA,
4190139618,SI,SI,1,34,2271,NO,OK,
4190139612,SI,NO,0,,,NO,SIN_COBERTURA,
4190139608,SI,NO,0,,,NO,SIN_COBERTURA,
4190139606,SI,NO,0,,,NO,SIN_COBERTURA,
4190139604,SI,NO,0,,,NO,SIN_COBERTURA,
4190139600,SI,NO,0,,,NO,SIN_COBERTURA,
4190139599,SI,NO,0,,,NO,SIN_COBERTURA,
4190139597,SI,NO,0,,,NO,SIN_COBERTURA,
4190139593,SI,NO,0,,,NO,SIN_COBERTURA,
4190139592,SI,SI,1,18,316,NO,OK,
4190139590,SI,NO,0,,,NO,SIN_COBERTURA,
4190139587,SI,NO,0,,,NO,SIN_COBERTURA,
4190139583,SI,NO,0,,,NO,SIN_COBERTURA,
4190139582,SI,NO,0,,,NO,SIN_COBERTURA,
