tabla_hija,columna_master_referenciada,uso
Resultado,DH_DESPACHO_A_CEDIBLE,OTHER (full table → Python)
Resultado,DH_CREACION_A_CEDIBLE,OTHER (full table → Python)
Resultado,DH_FES_CREDITO_A_PRIMER_DESPACHO,OTHER (full table → Python)
Resultado,DH_FES_FACTURA_A_PRIMER_DESPACHO,OTHER (full table → Python)
Resultado,DH_FES_FACTURA_A_PRIMER_PEDIDO_POSTERIOR,OTHER (full table → Python)
Resultado,DH_FES_PRIMER_PEDIDO_A_PRIMERA_ENTREGA_POSTERIOR,OTHER (full table → Python)
Resultado,DH_FES_PRIMERA_ENTREGA_A_PRIMER_MANIFIESTO,OTHER (full table → Python)
Resultado,DH_FES_FACTURA_A_PRIMER_MANIFIESTO,OTHER (full table → Python)
Resultado,DH_FES_FACTURA_A_ULTIMO_MANIFIESTO,OTHER (full table → Python)
Resultado,DH_FES_BRECHA_PRIMER_ULTIMO_MANIFIESTO,OTHER (full table → Python)
Resultado,DH_BRECHA_PRIMER_ULTIMO_DESPACHO,OTHER (full table → Python)
Resultado,DH_PRIMERA_FACTURA_A_ULTIMO_DESPACHO,OTHER (full table → Python)
Resultado,DH_ENT_PRIMERA_ULTIMA,OTHER (full table → Python)
Resultado,DH_PIC_PRIMERO_ULTIMO,OTHER (full table → Python)
Resultado,DH_PAC_PRIMERO_ULTIMO,OTHER (full table → Python)
Resultado,DH_FAC_PRIMERA_ULTIMA,OTHER (full table → Python)
