database_name	fecha_desde	fecha_hasta	server_now
DMF_VTA_PRD	2026-05-12	2026-08-12	2026-08-12 10:32:12.873000
---
CANAL	CAUSA_HORA	PEDIDOS
43	ZART_HORA_000000	121
43	ZART_HORA_VALIDA	1111
45	ZART_HORA_000000	33
45	ZART_HORA_VALIDA	268
---
CANAL	PEDIDOS_TOTAL	PEDIDOS_HORA_VALIDA	PEDIDOS_SIN_HORA_VALIDA	COBERTURA_HORA_PCT
43	1232	1111	121	90.18
45	301	268	33	89.04
---
CANAL	CAUSA_ZART	ESTADO_VBAK	PEDIDOS
43	ZART_HORA_000000	SIN_VBAK	1
43	ZART_HORA_000000	VBAK_RECUPERABLE	120
45	ZART_HORA_000000	VBAK_RECUPERABLE	33
---
PEDIDO	CANAL	ZART_FECHA_RAW	ZART_HORA_RAW	ZART_CAUSA	AUART	VBAK_FECHA_RAW	VBAK_HORA_RAW	VBAK_HORA_PARSED	VBAK_CAUSA
4190139687	43	Jun 12 2026  1:07PM	130711	ZART_HORA_000000	ZPDA	12-06-2026	13:07:11	13:07:11	VBAK_HORA_VALIDA
4190139691	43	Jun 12 2026  4:02PM	160228	ZART_HORA_000000	ZPDA	12-06-2026	16:02:28	16:02:28	VBAK_HORA_VALIDA
4190139710	43	Jun 15 2026  9:07PM	210701	ZART_HORA_000000	ZPDA	15-06-2026	21:07:01	21:07:01	VBAK_HORA_VALIDA
4190139712	43	Jun 15 2026 11:10PM	231017	ZART_HORA_000000	ZPDA	15-06-2026	23:10:17	23:10:17	VBAK_HORA_VALIDA
4190139770	43	Jun 19 2026 10:09AM	100911	ZART_HORA_000000	ZPDA	19-06-2026	10:09:11	10:09:11	VBAK_HORA_VALIDA
4190139774	43	Jun 19 2026 12:06PM	120603	ZART_HORA_000000	ZPDA	19-06-2026	12:06:03	12:06:03	VBAK_HORA_VALIDA
4190139777	43	Jun 22 2026  9:06AM	090628	ZART_HORA_000000	ZPDA	22-06-2026	09:06:28	09:06:28	VBAK_HORA_VALIDA
4190139787	43	Jun 22 2026  2:04PM	140430	ZART_HORA_000000	ZPDA	22-06-2026	14:04:30	14:04:30	VBAK_HORA_VALIDA
4190139794	43	Jun 22 2026  5:06PM	170614	ZART_HORA_000000	ZPDA	22-06-2026	17:06:14	17:06:14	VBAK_HORA_VALIDA
4190139795	43	Jun 22 2026  5:08PM	170825	ZART_HORA_000000	ZPDA	22-06-2026	17:08:25	17:08:25	VBAK_HORA_VALIDA
4190139809	43	Jun 22 2026  8:05PM	200521	ZART_HORA_000000	ZPDA	22-06-2026	20:05:21	20:05:21	VBAK_HORA_VALIDA
4190139817	43	Jun 22 2026 10:07PM	220723	ZART_HORA_000000	ZPDA	22-06-2026	22:07:23	22:07:23	VBAK_HORA_VALIDA
4190139865	43	Jun 25 2026  5:04PM	170406	ZART_HORA_000000	ZPDA	25-06-2026	17:04:06	17:04:06	VBAK_HORA_VALIDA
4190139874	43	Jun 26 2026 11:12AM	111225	ZART_HORA_000000	ZPDA	26-06-2026	11:12:25	11:12:25	VBAK_HORA_VALIDA
4190139895	43	Jun 30 2026 10:06AM	100627	ZART_HORA_000000	ZPDA	30-06-2026	10:06:27	10:06:27	VBAK_HORA_VALIDA
4190139909	43	Jun 30 2026  2:07PM	140723	ZART_HORA_000000	ZPDA	30-06-2026	14:07:23	14:07:23	VBAK_HORA_VALIDA
4190139918	43	Jun 30 2026  3:12PM	151211	ZART_HORA_000000	ZPDA	30-06-2026	15:12:11	15:12:11	VBAK_HORA_VALIDA
4190139919	43	Jun 30 2026  4:01PM	160123	ZART_HORA_000000	ZPDA	30-06-2026	16:01:23	16:01:23	VBAK_HORA_VALIDA
4190139925	43	Jun 30 2026  6:11PM	181119	ZART_HORA_000000	ZPDA	30-06-2026	18:11:19	18:11:19	VBAK_HORA_VALIDA
4190139929	43	Jun 30 2026  7:07PM	190714	ZART_HORA_000000	ZPDA	30-06-2026	19:07:14	19:07:14	VBAK_HORA_VALIDA
4190139933	43	Jun 30 2026 10:10PM	221024	ZART_HORA_000000	ZPDA	30-06-2026	22:10:24	22:10:24	VBAK_HORA_VALIDA
4190139956	43	Jul  3 2026  1:09PM	130901	ZART_HORA_000000	ZPDA	03-07-2026	13:09:01	13:09:01	VBAK_HORA_VALIDA
4190139992	43	Jul  8 2026  5:03PM	170314	ZART_HORA_000000	ZPDA	08-07-2026	17:03:14	17:03:14	VBAK_HORA_VALIDA
4190140011	43	Jul 10 2026  9:01PM	210122	ZART_HORA_000000	ZPDA	10-07-2026	21:01:22	21:01:22	VBAK_HORA_VALIDA
4190140025	43	Jul 14 2026  1:07PM	130725	ZART_HORA_000000	ZPDA	14-07-2026	13:07:25	13:07:25	VBAK_HORA_VALIDA
4190140044	43	Jul 16 2026  9:01PM	210105	ZART_HORA_000000	ZPDA	16-07-2026	21:01:05	21:01:05	VBAK_HORA_VALIDA
4190140047	43	Jul 17 2026 11:05AM	110519	ZART_HORA_000000	ZPDA	17-07-2026	11:05:19	11:05:19	VBAK_HORA_VALIDA
4190140066	43	Jul 20 2026  2:09PM	140926	ZART_HORA_000000	ZPDA	20-07-2026	14:09:26	14:09:26	VBAK_HORA_VALIDA
4190140080	43	Jul 21 2026  7:10PM	191026	ZART_HORA_000000	ZPDA	21-07-2026	19:10:26	19:10:26	VBAK_HORA_VALIDA
4190140083	43	Jul 21 2026  8:05PM	200521	ZART_HORA_000000	ZPDA	21-07-2026	20:05:21	20:05:21	VBAK_HORA_VALIDA
4190140084	43	Jul 21 2026 10:02PM	220224	ZART_HORA_000000	ZPDA	21-07-2026	22:02:24	22:02:24	VBAK_HORA_VALIDA
4190140103	43	Jul 23 2026 12:10PM	121005	ZART_HORA_000000	ZPDA	23-07-2026	12:10:05	12:10:05	VBAK_HORA_VALIDA
4190140117	43	Jul 23 2026  6:08PM	180810	ZART_HORA_000000	ZPDA	23-07-2026	18:08:10	18:08:10	VBAK_HORA_VALIDA
4190140138	43	Jul 27 2026 11:01AM	110111	ZART_HORA_000000	ZPDA	27-07-2026	11:01:11	11:01:11	VBAK_HORA_VALIDA
4190140190	43	Jul 30 2026 12:06PM	120621	ZART_HORA_000000	ZPDA	30-07-2026	12:06:21	12:06:21	VBAK_HORA_VALIDA
4190140219	43	Jul 31 2026  3:12PM	151229	ZART_HORA_000000	ZPDA	31-07-2026	15:12:29	15:12:29	VBAK_HORA_VALIDA
4190140222	43	Jul 31 2026  4:02PM	160211	ZART_HORA_000000	ZPDA	31-07-2026	16:02:11	16:02:11	VBAK_HORA_VALIDA
4190140223	43	Jul 31 2026  4:03PM	160323	ZART_HORA_000000	ZPDA	31-07-2026	16:03:23	16:03:23	VBAK_HORA_VALIDA
4190140275	43	Ago  7 2026 12:11PM	121102	ZART_HORA_000000	ZPDA	07-08-2026	12:11:02	12:11:02	VBAK_HORA_VALIDA
4190140295	43	Ago  9 2026  7:01PM	190119	ZART_HORA_000000	ZPDA	09-08-2026	19:01:19	19:01:19	VBAK_HORA_VALIDA
