source_type,source_object,target_type,target_object,dependency_kind,file,evidence
COLUMN,Resultado[PED_CODIGO_CLIENTE],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,PED_CODIGO_CLIENTE
COLUMN,Resultado[PED_CONDICION_EXPEDICION],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,PED_CONDICION_EXPEDICION
COLUMN,Resultado[PED_CONDICION_EXPEDICION_CODIGO],TABLE,Fact_Hitos_Operacionales,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Hitos_Operacionales.tmdl,PED_CONDICION_EXPEDICION_CODIGO
COLUMN,Resultado[PED_CONDICION_EXPEDICION_CODIGO],TABLE,Fact_Tracking,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Tracking.tmdl,PED_CONDICION_EXPEDICION_CODIGO
COLUMN,Resultado[PED_CONDICION_EXPEDICION_CODIGO],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,PED_CONDICION_EXPEDICION_CODIGO
COLUMN,Resultado[PED_ESTADO_CREDITO],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,PED_ESTADO_CREDITO
COLUMN,Resultado[PED_FECHA],TABLE,Fact_Hitos_Operacionales,M_BRACKET+M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Hitos_Operacionales.tmdl,PED_FECHA
COLUMN,Resultado[PED_FECHA],TABLE,Fact_Tracking,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Tracking.tmdl,PED_FECHA
COLUMN,Resultado[PED_FECHA],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,PED_FECHA
COLUMN,Resultado[PED_NUMERO_PEDIDO],TABLE,Dim_Pedido,M_BRACKET+M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Dim_Pedido.tmdl,PED_NUMERO_PEDIDO
COLUMN,Resultado[PED_NUMERO_PEDIDO],TABLE,Fact_Hitos_Operacionales,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Hitos_Operacionales.tmdl,PED_NUMERO_PEDIDO
COLUMN,Resultado[PED_NUMERO_PEDIDO],TABLE,Fact_Tracking,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Tracking.tmdl,PED_NUMERO_PEDIDO
COLUMN,Resultado[PED_NUMERO_PEDIDO],TABLE_OR_MEASURE_FILE,Medidas,DAX_OR_M_EXPLICIT,NS.SemanticModel\definition\tables\Medidas.tmdl,Resultado[PED_NUMERO_PEDIDO]
